2026-08-24T13:21:56.002-06:00 | [RELEASE] | evento_209 | tecla=Key.shift | delta_ms=34
2026-08-24T13:21:56.585-06:00 | [PRESS] | evento_210 | tecla=Key.backspace | delta_ms=583
2026-08-24T13:21:56.722-06:00 | [RELEASE] | evento_211 | tecla=Key.backspace | delta_ms=136
2026-08-24T13:21:56.969-06:00 | [PRESS] | evento_212 | tecla='0' | delta_ms=247
2026-08-24T13:21:57.026-06:00 | [RELEASE] | evento_213 | tecla='0' | delta_ms=56
2026-08-24T13:21:57.787-06:00 | [PRESS] | evento_214 | tecla='0' | delta_ms=760
2026-08-24T13:21:57.837-06:00 | [RELEASE] | evento_215 | tecla='0' | delta_ms=50
2026-08-24T13:21:57.915-06:00 | [PRESS] | evento_216 | tecla=Key.space | delta_ms=78
2026-08-24T13:21:58.007-06:00 | [RELEASE] | evento_217 | tecla=Key.space | delta_ms=91
2026-08-24T13:21:58.194-06:00 | [PRESS] | evento_218 | tecla='q' | delta_ms=187
2026-08-24T13:21:58.256-06:00 | [RELEASE] | evento_219 | tecla='q' | delta_ms=62
2026-08-24T13:21:58.295-06:00 | [PRESS] | evento_220 | tecla='u' | delta_ms=39
2026-08-24T13:21:58.383-06:00 | [PRESS] | evento_221 | tecla='e' | delta_ms=87
2026-08-24T13:21:58.431-06:00 | [RELEASE] | evento_222 | tecla='u' | delta_ms=48
2026-08-24T13:21:58.451-06:00 | [RELEASE] | evento_223 | tecla='e' | delta_ms=20
2026-08-24T13:21:58.485-06:00 | [PRESS] | evento_224 | tecla=Key.space | delta_ms=33
2026-08-24T13:21:58.570-06:00 | [RELEASE] | evento_225 | tecla=Key.space | delta_ms=84
2026-08-24T13:21:58.607-06:00 | [PRESS] | evento_226 | tecla='s' | delta_ms=37
2026-08-24T13:21:58.691-06:00 | [RELEASE] | evento_227 | tecla='s' | delta_ms=83
2026-08-24T13:21:58.706-06:00 | [PRESS] | evento_228 | tecla='i' | delta_ms=15
2026-08-24T13:21:58.793-06:00 | [RELEASE] | evento_229 | tecla='i' | delta_ms=87
2026-08-24T13:21:58.884-06:00 | [PRESS] | evento_230 | tecla='f' | delta_ms=90
2026-08-24T13:21:58.964-06:00 | [RELEASE] | evento_231 | tecla='f' | delta_ms=79
2026-08-24T13:21:59.199-06:00 | [PRESS] | evento_232 | tecla=Key.backspace | delta_ms=235
2026-08-24T13:21:59.258-06:00 | [PRESS] | evento_233 | tecla='g' | delta_ms=58
2026-08-24T13:21:59.285-06:00 | [RELEASE] | evento_234 | tecla=Key.backspace | delta_ms=27
2026-08-24T13:21:59.323-06:00 | [RELEASE] | evento_235 | tecla='g' | delta_ms=37
2026-08-24T13:21:59.446-06:00 | [PRESS] | evento_236 | tecla='n' | delta_ms=123
2026-08-24T13:21:59.555-06:00 | [PRESS] | evento_237 | tecla='i' | delta_ms=108
2026-08-24T13:21:59.594-06:00 | [RELEASE] | evento_238 | tecla='n' | delta_ms=39
2026-08-24T13:21:59.682-06:00 | [RELEASE] | evento_239 | tecla='i' | delta_ms=88
2026-08-24T13:21:59.898-06:00 | [PRESS] | evento_240 | tecla='f' | delta_ms=215
2026-08-24T13:21:59.961-06:00 | [RELEASE] | evento_241 | tecla='f' | delta_ms=63
2026-08-24T13:21:59.969-06:00 | [PRESS] | evento_242 | tecla='i' | delta_ms=7
2026-08-24T13:22:00.056-06:00 | [RELEASE] | evento_243 | tecla='i' | delta_ms=87
2026-08-24T13:22:00.088-06:00 | [PRESS] | evento_244 | tecla='c' | delta_ms=31
2026-08-24T13:22:00.156-06:00 | [RELEASE] | evento_245 | tecla='c' | delta_ms=67
2026-08-24T13:22:00.262-06:00 | [PRESS] | evento_246 | tecla='a' | delta_ms=106
